Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,YOY Quarterly profit growth,YOY Quarterly sales growth,Price to Earning,Return over 1year,Debt to equity,CFO to PAT,PEG Ratio,Sales growth,Profit growth,Promoter holding,Return on invested capital,Return on capital employed,OPM,Free cash flow last year,Debt,EPS,DII holding,FII holding,Sales growth 3Years,Average return on capital employed 3Years,Pledged percentage,EVEBITDA,From 52w high,GPM latest quarter,Industry PE,Price to book value,Working Capital Days,Average Working Capital Days 3years,Interest Coverage Ratio,Change in FII holding 3Years,Change in DII holding 3Years,Sales preceding quarter,Sales latest quarter,Sales,Profit after tax latest quarter,Profit growth 3Years,Sales 2quarters back,Sales 3quarters back,OPM latest quarter,Net profit 2quarters back,Net profit 3quarters back,Profit after tax preceding quarter,Change in promoter holding 3Years,Debt 3Years back,Historical PE 5Years,OPM last year,OPM preceding year,OPM 5Year,OPM preceding quarter,Book value,EBIT,Enterprise Value,DMA 200,DMA 50
Krsnaa Diagnost.,543328,KRSNAA,INE08LI01020,Healthcare Services,Healthcare Service Provider,541.15,1755.44,-19.12,19.95,17.76,-34.21,0.54,1.31,1.02,4.59,17.49,27.11,11.40,12.70,30.20,-79.70,531.14,30.50,14.51,4.28,14.19,11.78,0.00,7.26,0.61,77.00,37.02,1.75,65.93,25.42,4.01,-1.41,-5.26,173.02,210.66,725.99,15.82,17.45,159.43,182.88,26.93,16.49,23.24,43.38,-0.68,32.48,26.90,30.77,28.85,28.27,32.85,305.78,169.92,1931.04,611.13,555.97
Kwality Pharma,539997,KPL,INE552U01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,3512.50,3644.64,114.75,45.63,44.69,276.18,0.39,0.25,1.55,37.94,88.02,54.86,22.55,24.08,24.38,-28.64,130.46,78.11,0.56,3.13,26.08,19.47,0.00,27.29,0.92,46.15,34.75,10.98,128.11,109.03,10.87,3.13,0.55,157.11,162.35,553.95,25.62,28.78,123.44,111.05,25.27,16.00,14.12,25.30,0.13,90.27,17.96,23.50,21.72,26.35,24.67,319.58,118.16,3771.51,2158.90,3078.19
Landmark Cars,543714,LANDMARK,INE559R01029,Automobiles,Auto Dealer,471.20,1953.83,110.56,22.67,41.52,-25.42,1.50,7.02,-1.70,20.72,155.50,49.93,11.30,9.26,5.37,213.38,876.00,10.84,20.67,2.69,13.12,9.83,0.00,9.50,0.70,15.47,21.84,3.32,4.49,9.29,1.80,-7.78,6.38,1278.52,1302.36,5136.88,14.55,-24.37,1345.08,1210.92,5.53,14.18,1.51,15.93,-3.12,429.99,49.64,5.41,5.52,6.03,5.92,140.97,142.32,2773.36,472.69,497.79
Latteys Industri,,LATTEYS,INE262Z01023,Industrial Products,"Compressors, Pumps & Diesel Engines",21.00,120.75,92.42,64.22,28.61,4.36,0.91,-3.14,0.72,56.93,101.91,74.37,17.38,16.32,5.76,-11.82,21.79,0.73,0.00,0.00,30.34,13.69,0.00,18.55,0.57,19.18,42.95,5.10,54.03,55.30,4.77,0.00,0.00,38.91,38.69,132.01,1.27,39.62,33.92,20.49,5.89,0.94,0.58,1.38,2.29,12.42,74.61,5.61,5.55,6.33,6.12,4.15,7.10,142.49,21.82,21.34
M M Forgings,522241,MMFL,INE227C01017,Auto Components,Auto Components & Equipments,611.35,2951.70,78.06,16.27,26.26,92.12,1.27,2.31,-3.12,9.58,1.42,56.33,13.28,8.97,17.69,39.83,1235.32,35.07,7.49,2.44,2.84,11.83,0.00,12.98,0.89,48.49,29.89,3.03,-18.41,-17.54,2.59,0.80,-9.10,429.66,420.48,1648.71,34.17,-8.43,413.64,384.93,17.82,17.57,16.57,44.78,0.00,755.90,19.21,17.61,19.41,18.55,18.80,201.99,197.22,3961.53,491.02,591.77
Mah. Seamless,500265,MAHSEAMLES,INE271B01025,Industrial Products,Iron & Steel Products,703.20,9422.28,15.67,-4.72,12.73,14.19,0.00,1.33,-4.55,-12.21,-15.90,70.28,20.61,14.31,14.75,764.44,13.36,55.03,3.84,9.72,-6.49,17.96,0.00,8.63,0.95,41.95,21.24,1.39,116.05,128.48,368.00,3.76,-0.34,1280.11,1091.20,4620.27,266.40,-2.80,1090.29,1158.67,16.42,242.65,125.23,104.29,2.48,244.19,9.76,14.32,17.23,17.29,18.30,513.20,967.85,9356.42,611.45,633.61
Manaksia Steels,539044,MANAKSTEEL,INE824Q01011,Ferrous Metals,Iron & Steel,112.00,733.99,252.44,50.37,13.54,91.82,0.45,1.63,0.28,83.58,244.56,74.75,24.96,13.41,8.22,24.75,151.38,8.27,0.00,0.00,17.97,9.34,0.00,8.79,0.92,22.57,17.70,2.17,19.32,1.66,5.42,-0.73,0.00,310.08,302.22,1154.43,22.38,48.86,298.34,243.79,10.81,9.10,4.01,18.71,0.00,46.15,14.72,6.86,2.06,5.05,11.79,51.72,89.81,882.22,72.77,89.02
Marksans Pharma,524404,MARKSANS,INE750C01026,Pharmaceuticals & Biotechnology,Pharmaceuticals,316.25,14331.34,169.50,35.62,27.70,88.83,0.11,1.09,1.73,19.59,47.58,43.87,13.50,18.80,22.50,328.58,343.38,11.40,6.19,17.47,16.80,19.81,0.00,16.77,0.90,59.15,34.75,4.75,149.17,140.26,28.54,2.57,2.54,856.11,840.80,3171.75,157.17,16.04,754.43,720.41,25.34,113.69,99.14,148.13,0.02,122.95,21.90,20.36,20.31,19.75,22.83,66.71,715.60,13685.07,241.44,298.19
Max India Ltd,543223,MAXIND,INE0CG601016,Finance,Holding Company,140.20,789.62,-9.15,62.91,,-33.17,0.24,0.78,,37.21,3.29,48.33,-27.24,-23.03,-54.34,-126.83,96.21,-25.27,5.96,6.81,-0.04,-18.09,0.00,-9.08,0.58,77.80,13.99,1.80,230.54,12.62,-8.91,-3.90,5.96,65.63,59.74,213.63,-36.25,,43.10,45.16,-57.50,-42.85,-34.07,-19.10,-2.78,45.29,,-41.58,-62.08,-21.40,-22.87,77.74,-115.78,808.76,166.94,156.55
Meesho,544632,MEESHO,INE0VDM01015,Retailing,E-Retail/ E-Commerce,215.70,99787.59,38.48,48.28,,,0.01,2.85,,34.47,49.33,16.41,-90.21,-39.97,-10.66,-3975.86,62.63,-3.85,9.14,5.19,30.09,-21.25,0.00,-99.43,0.85,100.00,53.02,22.44,-26.91,-57.80,-108.15,,,3531.21,3712.81,13835.29,-132.84,6.13,3517.60,3073.67,-6.05,-490.68,-411.36,-166.35,,0.00,,-11.76,-6.16,,-7.22,9.61,-1043.68,97957.09,181.89,198.32
